Search_Parm,Resource,Search_Pram_Type,Expression
replaces,CommunicationRequest,reference,CommunicationRequest.replaces
requester,CommunicationRequest,reference,CommunicationRequest.requester
sender,CommunicationRequest,reference,CommunicationRequest.sender
status,CommunicationRequest,token,CommunicationRequest.status
subject,CommunicationRequest,reference,CommunicationRequest.subject
code,CompartmentDefinition,token,CompartmentDefinition.code
resource,CompartmentDefinition,token,CompartmentDefinition.resource.code
attester,Composition,reference,Composition.attester.party
author,Composition,reference,Composition.author
category,Composition,token,Composition.category
confidentiality,Composition,token,Composition.confidentiality
context,Composition,token,Composition.event.code
encounter,Composition,reference,Composition.encounter
encounter,DeviceRequest,reference,DeviceRequest.encounter
encounter,DiagnosticReport,reference,DiagnosticReport.encounter
encounter,DocumentReference,reference,DocumentReference.context.encounter
encounter,Flag,reference,Flag.encounter
encounter,List,reference,List.encounter
encounter,NutritionOrder,reference,NutritionOrder.encounter
encounter,Observation,reference,Observation.encounter
encounter,Procedure,reference,Procedure.encounter
